LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX,
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index,
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index,
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,,nm^2
ID4816,4816,0,3292,891.7778031,752.0128205,0,2,2,32.38811865,1,,253.6867616,255,0,255,837420,18.25519529,0.998374576,13.88538526,0.358577783,0.056803228,36.18935792,30.41361004,2.608554999,1.189906686,3295.5,231.8863431,0.770159783,0.932908705,4.039378167,36.51523546
ID4817,4817,1,1236,669.8572684,972.2452333,0,2,2,19.80699207,1,,254.3780488,255,0,255,312885,12.58330119,0.994053221,20.15523782,-0.666430804,-0.357750918,27.80335648,15.05061842,0.430346578,1.847323193,1232.5,151.1456655,0.677962071,0.885098743,4.305288244,13.6565097
ID4833,4833,2,1783,381.7896926,1007.337118,0,2,2,23.82657512,1,,253.0033557,255,0,255,452370,22.4820015,0.995489235,11.22815718,0.653723472,-0.903654635,28.85195166,22.78442247,2.782140821,1.266301645,1783.5,191.5299645,0.610955419,0.811604096,4.535238923,19.76177285
ID4834,4834,3,1298,679.2219662,1157.49872,0,2,2,20.35778652,1,,252.4539171,255,0,255,328695,25.3626235,0.993298969,9.920315329,0.284953334,-0.118372586,40.10911053,10.86459729,2.509551002,3.691725468,1302,189.8834632,0.453781264,0.837299035,5.262373292,14.4265928
ID4835,4835,4,1833,570.0456279,1235.873014,0,2,2,24.1714252,1,,254.1634773,255,0,255,464865,14.58526054,0.99563671,17.38794927,-2.673623066,-0.6213233,36.41469255,20.92575245,0.030826084,1.740185575,1835.5,195.6789526,0.602387599,0.833749716,4.567377632,20.33795014
ID4836,4836,5,890,874.8581781,1262.934783,0,2,2,16.78878805,1,,253.5625705,255,0,255,224910,19.10208637,0.707224891,10.99768156,0.320532609,0.258051435,17.40526933,17.01470335,1.21118142,1.022954616,885.5,120.5153576,0.766149711,0.910071942,4.04993554,9.811634349
ID4809,4809,6,565,1034.187924,232.5109241,0,2,2,13.40469809,1,,251.840708,255,0,255,142290,28.23205712,0.988113058,8.867046054,-0.323573036,0.618080193,18.47057336,10.36436029,1.973691183,1.78212382,564.5,100.1258942,0.707588874,0.917140536,4.214193126,6.254847645
